"x","y","z"
-9.23677,-24.8342,10.068
-7.96065,-22.153,10.2827
-10.4616,-22.0825,10.4227
-7.28884,-18.6809,11.252
-11.0323,-18.7836,11.3579
-8.66784,-17.3349,11.8165
-9.85248,-17.5675,11.887
-4.0843,-16.1097,7.97114
-14.4135,-16.0269,8.18281
-6.29512,-13.3,11.338
-11.9543,-13.3513,11.499
-3.35004,-12.6656,6.66584
-9.04546,-10.3396,11.7106
-15.1993,-12.5024,6.98388
-5.12167,-6.17551,9.10023
-9.15679,-6.24481,10.6505
-13.2994,-5.9891,9.02419
-5.77013,-4.76269,8.57476
-9.11638,-3.24737,9.16184
-12.8307,-4.58707,8.26731
-9.18053,-2.57708,6.17855
-14.1801,-6.78077,5.91898
-14.3567,-9.55382,8.41865
-13.992,-9.315,7.109
-4.341,-6.94704,5.66387
-4.0235,-9.2833,8.09743
-4.53227,-9.5276,6.87966
-9.27544,-24.552,7.38284
-9.30655,-22.4989,7.12799
-9.54318,-21.8794,7.19855
-8.98155,-21.8733,7.19855
-10.3737,-20.1438,6.95966
-8.18676,-20.1411,6.88104
-11.5306,-19.0883,7.16327
-7.1115,-19.0496,7.02216
-11.0801,-17.8744,6.63409
-7.49376,-17.8551,6.52826
-9.74395,-16.8384,6.70465
-8.86072,-16.8736,6.70465
-9.93199,-15.0368,6.17496
-8.73635,-15.1099,6.03348
-10.9141,-14.2866,5.71686
-7.77401,-14.3179,5.46991
-9.42137,-13.3911,5.22273
-9.30675,-12.5236,6.01505
-10.0214,-9.19056,4.62323
-8.58497,-9.22882,4.58795
-11.5899,-5.14888,4.08073
-6.94967,-5.23763,4.01418
-9.28187,-5.82269,3.67021
-9.17489,-16.759,11.2566
